date,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa),code,
8_5,16.287260061919504,27.5520278637771,7.0791176470588235,8.096006191950465,0.4069659442724458,68.3759907120743,-0.9992569659442723,-3.7637306501547982,297.6735294117647,74.29851393188856,98308.04767801859,210000,
8_6,17.512337461300312,32.31797213622291,9.386021671826626,12.775000000000002,0.5075851393188855,79.13335913312693,-2.2214396284829716,-0.16365325077399387,297.48803405572755,68.50475232198143,98168.61972136225,210000,
8_7,24.300386996904027,39.123575851393184,9.330851393188855,14.17623839009288,0.6908978328173375,64.82842105263158,-0.046037151702786425,0.6345510835913313,298.5251857585139,82.50752321981425,98036.03131578947,210000,
8_8,19.622523219814244,31.988792569659445,7.5662538699690405,10.409148606811145,0.5090712074303406,69.54012383900931,-0.5770588235294117,-2.6494117647058824,298.0283591331269,74.77425696594429,98183.79913312693,210000,
8_9,18.364674922600617,32.24077399380805,7.454829721362228,13.248668730650156,0.519907120743034,79.73030959752323,-0.12156346749226017,-2.864736842105263,299.29852941176466,64.73916408668731,98124.56300309597,210000,
8_10,15.59886996904025,26.20255417956656,6.298544891640866,12.835123839009288,0.4121826625386997,79.34481424148608,0.04199690402476782,-3.077801857585139,299.9501083591331,57.81434984520124,98142.98722910215,210000,
8_11,18.044102167182665,34.28794117647059,9.240386996904023,16.10077399380805,0.5025696594427245,87.81450464396286,-1.294767801857585,1.3837770897832817,298.9767801857585,60.45102167182663,98085.54996904026,210000,
8_12,22.81674922600619,37.814365325077404,8.177956656346751,15.448637770897834,0.5888235294117646,71.70380804953561,-2.550201238390093,2.399969040247678,297.44527863777085,78.56873065015479,98102.0388390093,210000,
8_13,24.31123839009288,38.01478328173374,7.98842105263158,12.547167182662541,0.5816563467492261,59.84846749226007,-0.4790712074303405,4.11532507739938,298.43673374612996,84.86961300309599,98241.2852631579,210000,
8_14,13.82385448916409,23.04933436532508,6.6374922600619195,10.32486068111455,0.47530959752321983,38.3288080495356,0.21900928792569663,2.5845510835913315,297.23789473684207,92.29571207430341,98323.93139318885,210000,
8_15,15.762012383900927,26.604071207430337,7.511269349845201,8.75377708978328,0.49414860681114553,51.64606811145511,-1.7922445820433435,-4.336284829721363,296.7094582043344,82.75417956656347,98574.01758513933,210000,
8_16,12.308312693498449,21.7002786377709,6.2052941176470595,9.616547987616096,0.3743808049535603,69.20537151702786,-4.203467492260062,-6.185835913312694,295.64712074303407,62.52595975232198,98864.52820433438,210000,
8_17,14.270061919504645,28.43136222910217,7.436996904024767,14.127399380804954,0.5314860681114552,68.58767801857584,-1.6327863777089782,1.8073219814241488,294.36815789473684,69.9964705882353,98765.23555727552,210000,
8_18,16.177925696594425,29.473808049535606,7.017910216718266,13.722445820433439,0.5611764705882353,60.16869969040248,0.8952321981424147,3.453003095975232,295.6520278637771,78.12213622291023,98565.45941176472,210000,
8_19,19.77592879256966,34.09017027863778,7.518885448916409,12.644907120743035,0.5630650154798762,69.96425696594429,0.9113931888544892,3.481656346749226,295.47504643962844,84.41753869969041,98441.76041795666,210000,
8_20,13.144380804953562,20.691424148606806,6.096749226006191,10.98157894736842,0.5112074303405574,58.66727554179567,-3.0018575851393194,0.5388235294117645,294.0874613003096,91.40311145510834,97868.50535603715,210000,
8_21,10.328606811145512,17.705541795665635,5.076795665634675,11.026594427244584,0.39416408668730646,64.80365325077399,3.0332043343653248,-3.7158049535603714,295.49743034055723,68.36557275541797,97718.47917956658,210000,
8_22,14.963839009287925,28.85452012383901,6.741950464396285,18.36363777089783,0.548204334365325,50.68133126934984,-0.18427244582043342,-3.073328173374613,294.99846749226,61.400541795665646,98345.20168730651,210000,
8_23,16.32783281733746,31.396130030959753,8.02453560371517,16.669365325077397,0.5537306501547988,49.36459752321982,-3.7013777089783284,-4.079303405572755,294.70380804953567,68.48800309597523,98262.2505882353,210000,
8_24,10.872894736842106,19.436764705882357,6.302306501547986,9.324829721362228,0.368467492260062,66.21314241486068,-0.9623529411764707,-7.566145510835914,292.72119195046434,80.53311145510835,97804.24258513932,210000,
8_25,11.578839009287927,20.118823529411763,6.46312693498452,9.4984520123839,0.4047368421052632,73.43224458204332,4.175263157894737,-1.330356037151703,293.3118111455108,74.70170278637771,98100.69089783281,210000,
8_26,24.83702786377709,41.969380804953566,10.341300309597523,15.901780185758515,0.6677089783281734,80.5521826625387,1.7542569659442724,1.3921052631578947,294.6344117647058,75.76346749226006,98462.33890092881,210000,
8_27,29.885077399380805,47.31210526315789,10.688622291021673,15.020216718266251,0.6823839009287925,87.64202786377709,-0.38097523219814255,0.5362074303405573,295.4870897832817,74.42057275541794,98644.47300309596,210000,
8_28,30.74001547987616,50.366749226006185,10.190944272445819,15.703684210526319,0.6795510835913312,73.83478328173373,-1.3852786377708983,2.7899690402476782,294.9952012383901,77.47178018575852,98461.03541795665,210000,
